n,t,x,y,z,,,,,,,,,,,,,,,,,,,,,,,,
280,1.308411,0.205013,0.066121,0.342697,,,,,,,,,,,,,,,,,,,,,,,,
281,1.313084,0.205011,0.066131,0.342689,,,,,,,,,,,,,,,,,,,,,,,,
282,1.317757,0.205011,0.066134,0.34269,,,,,,,,,,,,,,,,,,,,,,,,
283,1.32243,0.205012,0.066134,0.342692,,,,,,,,,,,,,,,,,,,,,,,,
284,1.327103,0.205004,0.066154,0.342689,,,,,,,,,,,,,,,,,,,,,,,,
285,1.331776,0.204992,0.066172,0.342673,,,,,,,,,,,,,,,,,,,,,,,,
286,1.336449,0.204989,0.066174,0.34268,,,,,,,,,,,,,,,,,,,,,,,,
287,1.341121,0.204971,0.066192,0.342667,,,,,,,,,,,,,,,,,,,,,,,,
288,1.345794,0.204981,0.066178,0.342674,,,,,,,,,,,,,,,,,,,,,,,,
289,1.350467,0.204985,0.066181,0.342676,,,,,,,,,,,,,,,,,,,,,,,,
290,1.35514,0.204984,0.06619,0.342669,,,,,,,,,,,,,,,,,,,,,,,,
291,1.359813,0.204966,0.066211,0.34265,,,,,,,,,,,,,,,,,,,,,,,,
292,1.364486,0.204974,0.066207,0.342655,,,,,,,,,,,,,,,,,,,,,,,,
293,1.369159,0.204972,0.066203,0.342647,,,,,,,,,,,,,,,,,,,,,,,,
294,1.373832,0.204966,0.066216,0.342643,,,,,,,,,,,,,,,,,,,,,,,,
295,1.378505,0.204964,0.066232,0.342637,,,,,,,,,,,,,,,,,,,,,,,,
296,1.383178,0.204969,0.066223,0.342642,,,,,,,,,,,,,,,,,,,,,,,,
297,1.38785,0.204963,0.066238,0.34264,,,,,,,,,,,,,,,,,,,,,,,,
298,1.392523,0.204963,0.06624,0.342639,,,,,,,,,,,,,,,,,,,,,,,,
299,1.397196,0.204964,0.066233,0.342652,,,,,,,,,,,,,,,,,,,,,,,,
